season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,qbelo1_pre,qbelo2_pre,qb1,qb2,qb1_value_pre,qb2_value_pre,qb1_adj,qb2_adj,qbelo_prob1,qbelo_prob2,qb1_game_value,qb2_game_value,qb1_value_post,qb2_value_post,qbelo1_post,qbelo2_post,score1,score2,quality,importance,total_rating
2005,0,,ATL,GB,1598.26,1463.739,0.7592432637062744,0.2407567362937256,1561.568,1500.431,1610.18802987,1435.99016481,Michael Vick,Brett Favre,108.96248059521,161.70461619972,-1.34896018667,7.18502353975,0.783797915589,0.2162020844109999,212.87653843731,162.53063437578,119.35388637942,161.78721801732598,1571.84498118,1474.33321349,25,33,59.0,,
2005,0,,PHI,GB,1505.529,1481.944,0.6247915301326309,0.3752084698673691,1518.454,1469.018,1529.6346517,1456.24346199,Mike McMahon,Brett Favre,36.49387446672,152.51778963861,-113.801745752,1.88900541874,0.522477432601,0.477522567399,15.68466791166,-34.218333441599995,34.412953811214,133.844177330589,1546.62605138,1439.25206231,19,14,18.0,,
2005,0,,CHI,GB,1536.239,1469.018,0.6815979898153557,0.3184020101846443,1551.647,1453.611,1560.70054841,1439.25206231,Kyle Orton,Brett Favre,34.07191628510999,133.84417733081995,-6.1856882673,-7.54225100621,0.736481979863,0.263518020137,-139.1229189966,34.611584589779994,16.752432756938997,123.920918056716,1573.20403691,1426.74857381,19,7,43.0,,
2005,0,,BAL,GB,1445.526,1461.506,0.5700810406849602,0.4299189593150397,1477.728,1429.303,1463.52979932,1438.84289902,Kyle Boller,Brett Favre,44.78932543899,113.86815106491,-11.4062583251,-16.5468131841,0.623444729696,0.376555270304,334.8347073885,-19.100543552244,73.793863633941,100.57128160319462,1491.25970207,1411.11299626,48,3,19.0,,
2006,0,,DET,GB,1382.895,1403.936,0.5629266597869774,0.4370733402130226,1359.006,1427.825,1416.68806516,1384.09019227,Jon Kitna,Brett Favre,101.52996272331,86.65705487439,6.85591542862,-7.04043466606,0.643592951857,0.3564070481429999,198.07501565511,348.3823951839,111.18446801649,112.82958890534096,1388.6115583,1412.16669913,24,31,7.0,,
2006,0,,PHI,GB,1484.234,1427.825,0.6679408229130541,0.3320591770869459,1503.968,1408.091,1525.33094843,1412.16669913,Donovan McNabb,Brett Favre,161.99244089984998,112.82958890544,22.8562270811,6.39785408278,0.746424717836,0.253575282164,303.06674651154,-23.489333743656,176.09987146101898,99.1976966405304,1539.98348535,1397.5141622,31,9,38.0,,
2006,0,,MIA,GB,1444.184,1394.08,0.659842379206476,0.3401576207935239,1410.793,1427.472,1446.92509839,1385.65787987,Joey Harrington,Brett Favre,79.21080077196,101.33962413333,-4.64050384783,0.369878230207,0.62895490963,0.37104509037,32.330806275867,160.46956465254002,74.52280132235069,107.25261818525098,1415.45013167,1417.13284659,24,34,11.0,,
2006,0,,BUF,GB,1435.912,1444.609,0.5803246181173594,0.4196753818826406,1458.075,1422.446,1431.20493557,1437.55389047,J.P. Losman,Brett Favre,49.27667122719,119.21751611682,-4.96280781803,9.12493624326,0.58756464107,0.41243535893,-54.72770531514,68.56076488106999,38.876233572957,114.151840993245,1452.93557699,1415.82324904,24,10,18.0,,
2006,0,,MIN,GB,1509.951,1422.446,0.7063846515041282,0.2936153484958718,1480.412,1451.985,1506.09675676,1415.82324904,Brad Johnson,Brett Favre,84.01377476448,114.15184099308,-17.5711455266,6.13585186931,0.669454418364,0.330545581636,55.66179763848,287.56008071802,81.17857705188,131.492664965574,1478.50524607,1443.41475973,17,23,25.0,,
2006,0,,SEA,GB,1539.551,1429.791,0.7322365012043307,0.2677634987956693,1551.448,1417.895,1554.1459942,1419.5983124,Matt Hasselbeck,Brett Favre,117.46667418519,113.70942754115998,-7.9139437774,4.88287898667,0.741800414849,0.258199585151,3.0493476886488,49.87095294192,106.02494153553587,107.32558008123596,1565.5761927,1408.1681139,34,24,39.0,,
